"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"91880926438629377","91870962047397889","56304605","2011-07-15 14:44:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sardesairajdeep Its really shame on media fighting for TRP ratings. wat exactly will u be getting by discussing blast with those kids?","","","",""
"91788573610749952","91573184134004736","56304605","2011-07-15 08:37:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sardesairajdeep Chidambaram has inaugurated NSG hub in mumbai in june 2009. Is dat really functioning nw? if so wat were they dng that day?","","","",""
"86443633338888192","","","2011-06-30 14:39:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@RGVzoomin  I feel ur films dont require any trailers as u urself more than enough for advertisng by making controversies in the media :D","","","",""
"85749944660672513","85740414677680128","77888423","2011-06-28 16:42:34 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@OMGFacts wats the success rate?","","","",""
"85749185223200768","85652039132135424","90347940","2011-06-28 16:39:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@9XMHaqSe Jack Ass :D","","","",""
"80254032320532480","","","2011-06-13 12:43:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@RGVzoomin wat exactly u mean by sequel? r u talking abt ramdev baba? u call up urself as so daring then y dnt u be specific in it?","","","",""
"80113291862618113","79876865803812864","56304605","2011-06-13 03:24:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sardesairajdeep Tweeting about it won't yield anything... Little less conversation, little more action please! Hope we get some clue...","","","",""
"80109785051181056","79910838751862786","90347940","2011-06-13 03:10:35 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@9XMHaqSe Dil chahta hai","","","",""
"46890719826280449","","","2011-03-13 11:09:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Never explain yourself to anyone,
Because the person who likes you doesn't need it,
And the person who dislikes you won't believe it......!!","","","",""
"46626828789624832","","","2011-03-12 17:41:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","India beat Bangladesh beat England beat South Africa beat India. Watta chain...!! LOL!!!","","","",""
